id,date,language,username,problemCode,contestCode,result,time,memory
18934014,2018-06-17 23:40:22,C++14,bobby_123,MINIONS,COOK95A,WA,0.25,15248
18934012,2018-06-17 23:40:20,C++14,chinmay0906,MINIONS,COOK95A,WA,0.26,66048
18933995,2018-06-17 23:40:10,C++14,reej,MINIONS,COOK95A,WA,0.16,24736
18933992,2018-06-17 23:40:08,C++14,rohit_0801,GOODPERM,COOK95A,WA,0.35,16064
18933990,2018-06-17 23:40:07,C++14,guardian_123,GOODPERM,COOK95A,AC,0.01,15240
18933984,2018-06-17 23:40:04,C++14,karthik6995,GOODPERM,COOK95A,AC,0.03,23240
18933982,2018-06-17 23:40:02,C++14,himkha_100,GOODPERM,COOK95A,WA,0.11,16064
18933974,2018-06-17 23:39:57,C++14,teja349,BTMNTREE,COOK95A,WA,0.33,77632
18933970,2018-06-17 23:39:54,C++14,whiterabbit,MINIONS,COOK95A,WA,0.38,20424
18933967,2018-06-17 23:39:49,C++14,rajas_iitg,MINIONS,COOK95A,WA,0.09,25680
18933964,2018-06-17 23:39:49,C++14,mukul113,MINIONS,COOK95A,WA,0.12,23880
18933956,2018-06-17 23:39:44,C++14,devils_hearth,MINIONS,COOK95A,WA,0.26,17504
18933957,2018-06-17 23:39:44,C++14,raghavtripat,MINIONS,COOK95A,WA,0.44,23752
18933950,2018-06-17 23:39:41,C++14,vsp4,SONYASEG,COOK95A,AC,0.21,23176
18933889,2018-06-17 23:38:33,C++14,ajaybgunjal199,MINIONS,COOK95A,TLE,1.51,30200
18933877,2018-06-17 23:38:21,C++14,japoorv,GOODPERM,COOK95A,WA,0.26,53352
18933871,2018-06-17 23:38:17,C++14,deathsick,SONYASEG,COOK95A,WA,0.24,23056
18933870,2018-06-17 23:38:15,C++14,vivek_rathi_53,GOODPERM,COOK95A,WA,0.16,16064
18933867,2018-06-17 23:38:10,C++14,dsingh_24,SONYASEG,COOK95A,WA,0.13,21488
18933851,2018-06-17 23:37:54,JAVA,uwi,BTMNTREE,COOK95A,AC,2.12,4575232
18933842,2018-06-17 23:37:49,C++14,chpipis,MINIONS,COOK95A,WA,0.56,37784
18933833,2018-06-17 23:37:40,C++14,ohm123,MINIONS,COOK95A,WA,0.31,30192
18933827,2018-06-17 23:37:38,C++14,deathsick,SONYASEG,COOK95A,WA,0.24,23880
18933828,2018-06-17 23:37:38,C++14,ninja_69,SONYASEG,COOK95A,TLE,1.01,22176
18933810,2018-06-17 23:37:26,JAVA,aman_robotics,MINIONS,COOK95A,WA,0.89,4575232
18933801,2018-06-17 23:37:18,C++14,t_bone_289,MINIONS,COOK95A,WA,0.06,41000
18933792,2018-06-17 23:37:08,C++14,abhisheksaini1,MINIONS,COOK95A,AC,0.4,101184
18933778,2018-06-17 23:36:57,C++14,kgarun,MINIONS,COOK95A,TLE,1.51,26408
18933772,2018-06-17 23:36:52,C++14,ad_6398,MINIONS,COOK95A,WA,0.29,21872
18933771,2018-06-17 23:36:52,C++14,user28040,MINIONS,COOK95A,WA,0.53,24848
18933770,2018-06-17 23:36:51,C++14,himkha_100,GOODPERM,COOK95A,WA,0.17,15240
18933768,2018-06-17 23:36:49,JAVA,ankurdua15,SONYASEG,COOK95A,WA,1.25,4575232
18933762,2018-06-17 23:36:44,C++14,shisui24,SONYASEG,COOK95A,WA,0.18,28568
18933766,2018-06-17 23:36:44,JAVA,lapmid258,GOODPERM,COOK95A,WA,0.19,4575232
18933751,2018-06-17 23:36:38,C++14,raghavtripat,MINIONS,COOK95A,WA,0.38,23760
18933753,2018-06-17 23:36:38,C++14,ania7,DANYANUM,COOK95A,TLE,2.01,18848
18933749,2018-06-17 23:36:37,C++14,vishalsoni242,GOODPERM,COOK95A,WA,0.16,15240
18933747,2018-06-17 23:36:34,C++14,mukul113,MINIONS,COOK95A,WA,0.12,23880
